"name"	"iso3alpha"	"value"	"id"
"Albania"	"ALB"	4148.85167512995	8
"Algeria"	"DZA"	5403.99922109558	12
"Angola"	"AGO"	5484.83496907126	24
"Antigua and Barbuda"	"ATG"	13207.1639715027	28
"Azerbaijan"	"AZE"	7391.97496593949	31
"Argentina"	"ARG"	11452.1290071111	32
"Australia"	"AUS"	67035.5712066029	36
"Austria"	"AUT"	47226.1957354843	40
"Bahamas, The"	"BHS"	21908.2804602645	44
"Bangladesh"	"BGD"	747.337506089456	50
"Armenia"	"ARM"	3337.86368824499	51
"Belgium"	"BEL"	43412.5259353033	56
"Bhutan"	"BTN"	2398.90581876592	64
"Bolivia"	"BOL"	2575.6836947783	68
"Bosnia and Herzegovina"	"BIH"	4446.51954294172	70
"Botswana"	"BWA"	7191.43087237584	72
"Brazil"	"BRA"	11339.5211084814	76
"Solomon Islands"	"SLB"	1834.83970498894	90
"Brunei Darussalam"	"BRN"	41126.6128435587	96
"Bulgaria"	"BGR"	6986.0416810536	100
"Burundi"	"BDI"	250.970785536726	108
"Belarus"	"BLR"	6685.02001655482	112
"Cambodia"	"KHM"	945.989324566288	116
"Cameroon"	"CMR"	1151.3550845239	120
"Canada"	"CAN"	52218.9936865123	124
"Cape Verde"	"CPV"	3837.67523746098	132
"Central African Republic"	"CAF"	472.677756125272	140
"Sri Lanka"	"LKA"	2923.13193992787	144
"Chad"	"TCD"	885.111555524819	148
"Chile"	"CHL"	15355.8910060997	152
"China"	"CHN"	6188.19432639525	156
"Colombia"	"COL"	7751.67818070649	170
"Comoros"	"COM"	830.519668201936	174
"Congo, Rep."	"COG"	3153.73946113121	178
"Congo, Dem. Rep."	"COD"	271.96853994155	180
"Costa Rica"	"CRI"	9396.45125213391	188
"Croatia"	"HRV"	13227.468357879	191
"Cyprus"	"CYP"	26315.4731949519	196
"Czech Republic"	"CZE"	18607.7108861328	203
"Benin"	"BEN"	751.916316790793	204
"Denmark"	"DNK"	56210.2269460611	208
"Dominica"	"DMA"	6691.01640895122	212
"Dominican Republic"	"DOM"	5736.44188938666	214
"Ecuador"	"ECU"	5424.63361068466	218
"El Salvador"	"SLV"	3789.56755762781	222
"Equatorial Guinea"	"GNQ"	24035.7060899604	226
"Ethiopia"	"ETH"	470.223638143891	231
"Eritrea"	"ERI"	504.302191150692	232
"Estonia"	"EST"	16316.4568960913	233
"Fiji"	"FJI"	4437.75501604956	242
"Finland"	"FIN"	46178.5920845971	246
"France"	"FRA"	39771.8428056603	250
"Gabon"	"GAB"	11430.4937505424	266
"Georgia"	"GEO"	3508.40583774314	268
"Gambia, The"	"GMB"	512.103199223786	270
"Germany"	"DEU"	41514.1686037915	276
"Ghana"	"GHA"	1604.90578223229	288
"Kiribati"	"KIR"	1743.38952408926	296
"Greece"	"GRC"	22082.8897548635	300
"Grenada"	"GRD"	7485.02037664374	308
"Guatemala"	"GTM"	3351.14043300424	320
"Guinea"	"GIN"	591.018949013564	324
"Guyana"	"GUY"	3583.96216981679	328
"Haiti"	"HTI"	770.951240630501	332
"Honduras"	"HND"	2334.76838306521	340
"Hong Kong SAR, China"	"HKG"	36795.8198788131	344
"Hungary"	"HUN"	12621.7435375748	348
"Iceland"	"ISL"	42658.4021205812	352
"India"	"IND"	1489.23516692966	356
"Indonesia"	"IDN"	3557.39273605043	360
"Iraq"	"IRQ"	6454.61962797202	368
"Ireland"	"IRL"	45835.7474179445	372
"Italy"	"ITA"	33048.7514578845	380
"Cote d'Ivoire"	"CIV"	1243.98607464495	384
"Jamaica"	"JAM"	5471.72243319104	388
"Japan"	"JPN"	46720.3566603016	392
"Kazakhstan"	"KAZ"	11935.4312563132	398
"Jordan"	"JOR"	4945.12883823995	400
"Kenya"	"KEN"	864.744792780307	404
"Korea, Rep."	"KOR"	22590.1564785148	410
"Kyrgyz Republic"	"KGZ"	1159.63090022011	417
"Lao PDR"	"LAO"	1399.21285228214	418
"Lebanon"	"LBN"	9705.39223407255	422
"Lesotho"	"LSO"	1193.03905080209	426
"Latvia"	"LVA"	13983.9591182191	428
"Liberia"	"LBR"	421.703661035196	430
"Lithuania"	"LTU"	14096.9446417751	440
"Luxembourg"	"LUX"	107475.947894486	442
"Macao SAR, China"	"MAC"	78275.1475203699	446
"Madagascar"	"MDG"	447.437128913523	450
"Malawi"	"MWI"	268.053911345494	454
"Malaysia"	"MYS"	10380.5390268659	458
"Maldives"	"MDV"	6566.64755083787	462
"Mali"	"MLI"	693.984361199431	466
"Malta"	"MLT"	20847.5905712297	470
"Mauritania"	"MRT"	1106.13694724689	478
"Mauritius"	"MUS"	8124.17424555682	480
"Mexico"	"MEX"	9747.45638763807	484
"Mongolia"	"MNG"	3672.96694040922	496
"Moldova"	"MDA"	2037.93512284399	498
"Montenegro"	"MNE"	6813.04370927463	499
"Morocco"	"MAR"	2902.32995755275	504
"Mozambique"	"MOZ"	578.799378012149	508
"Namibia"	"NAM"	5785.74818236006	516
"Nepal"	"NPL"	706.646201038527	524
"Netherlands"	"NLD"	46054.4119496487	528
"Vanuatu"	"VUT"	3176.21274802237	548
"New Zealand"	"NZL"	37749.4427226249	554
"Nicaragua"	"NIC"	1753.64236651583	558
"Niger"	"NER"	382.830087869189	562
"Nigeria"	"NGA"	1555.41097872689	566
"Norway"	"NOR"	99557.7312341265	578
"Micronesia, Fed. Sts."	"FSM"	3164.56308332124	583
"Marshall Islands"	"MHL"	3556.29721244411	584
"Palau"	"PLW"	11005.8656286861	585
"Pakistan"	"PAK"	1290.36491548914	586
"Panama"	"PAN"	9534.40842483762	591
"Papua New Guinea"	"PNG"	2184.1634610913	598
"Paraguay"	"PRY"	3813.47148779887	600
"Peru"	"PER"	6568.03929228348	604
"Philippines"	"PHL"	2587.01664846421	608
"Poland"	"POL"	12707.8543136195	616
"Portugal"	"PRT"	20182.3972151006	620
"Guinea-Bissau"	"GNB"	539.451112784203	624
"Timor-Leste"	"TLS"	1068.14142400678	626
"Puerto Rico"	"PRI"	27677.5255941778	630
"Romania"	"ROU"	7942.83350494581	642
"Russian Federation"	"RUS"	14037.0250155334	643
"Rwanda"	"RWA"	619.927057661997	646
"St. Kitts and Nevis"	"KNA"	13968.5833813714	659
"St. Lucia"	"LCA"	6558.4414093384	662
"St. Vincent and the Grenadines"	"VCT"	6515.2192439667	670
"Sao Tome and Principe"	"STP"	1402.08309748172	678
"Saudi Arabia"	"SAU"	25136.2148172776	682
"Senegal"	"SEN"	1031.59964465181	686
"Serbia"	"SRB"	5189.5793787732	688
"Seychelles"	"SYC"	11758.0352181085	690
"Sierra Leone"	"SLE"	634.922792952024	694
"Singapore"	"SGP"	51709.4533042869	702
"Slovak Republic"	"SVK"	16931.6256267233	703
"Vietnam"	"VNM"	1595.81302599724	704
"Slovenia"	"SVN"	22000.5056066727	705
"South Africa"	"ZAF"	7507.67493954937	710
"Zimbabwe"	"ZWE"	787.938246008694	716
"Spain"	"ESP"	29195.3756427335	724
"South Sudan"	"SSD"	861.572264747699	728
"Sudan"	"SDN"	1580.00401698971	729
"Suriname"	"SUR"	8864.01944882049	740
"Swaziland"	"SWZ"	3043.50283144887	748
"Sweden"	"SWE"	55244.6463088093	752
"Switzerland"	"CHE"	79052.337470574	756
"Syrian Arab Republic"	"SYR"	3289.05632465025	760
"Tajikistan"	"TJK"	872.336887160001	762
"Thailand"	"THA"	5479.76058007419	764
"Togo"	"TGO"	574.119522324374	768
"Tonga"	"TON"	4493.87031113863	776
"Trinidad and Tobago"	"TTO"	17934.0594173095	780
"Tunisia"	"TUN"	4236.79363099703	788
"Turkey"	"TUR"	10666.0556822211	792
"Turkmenistan"	"TKM"	6510.61214008481	795
"Tuvalu"	"TUV"	3739.8154859264	798
"Uganda"	"UGA"	547.006246137373	800
"Ukraine"	"UKR"	3867.01998402759	804
"Macedonia, FYR"	"MKD"	4567.57174644296	807
"Egypt, Arab Rep."	"EGY"	3187.31259086286	818
"United Kingdom"	"GBR"	38514.4561194978	826
"Tanzania"	"TZA"	608.854257392613	834
"United States"	"USA"	49965.2707473677	840
"Burkina Faso"	"BFA"	634.320974595762	854
"Uruguay"	"URY"	14449.499103511	858
"Uzbekistan"	"UZB"	1716.52628363028	860
"Venezuela, RB"	"VEN"	12728.7271585952	862
"Samoa"	"WSM"	3584.33445403242	882
"Yemen, Rep."	"YEM"	1494.4328319866	887
"Zambia"	"ZMB"	1469.12116226751	894
